"#","Reference","Qty","Value","Footprint","DNP"
"1","C201, C202, C204","3","10u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","C203, C403","2","4.7u","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"3","C401, C402","2","100n","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"4","J101","1","NRPN252PARN-RC or LPC-50M2LG (2mm pitch)","",""
"5","J401","1","Conn_02x04_Odd_Even","Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical",""
"6","J402","1","Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical",""
"7","Q201, Q202","2","SI1470DH","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"8","R1","1","390k","Resistor_SMD:R_1206_3216Metric",""
"9","R2","1","10k","Resistor_SMD:R_1206_3216Metric",""
"10","R3, R5, R7, R9","4","10M","Resistor_SMD:R_1206_3216Metric",""
"11","R4, R6, R8, R10","4","3.6M","Resistor_SMD:R_1206_3216Metric",""
"12","R201, R202","2","0.025, PE1206FRE470R025L","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"13","R303","1","3.3k","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",""
"14","S1","1","~","",""
"15","SW401","1","SW_Push","Button_Switch_SMD:SW_SPST_EVPBF",""
"16","U1","1","LM334M","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"17","U2","1","ADG734","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm",""
"18","U4","1","~","lib:SOP65P640X120-14N",""
"19","U201, U202","2","LTC4361-2","Package_TO_SOT_SMD:TSOT-23-8_HandSoldering",""
"20","U301, U304, U305, U306","4","VT01","",""
"21","U307","1","LM335DT","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"22","U401","1","STM32G031K8Tx","Package_QFP:LQFP-32_7x7mm_P0.8mm",""
"23","U402","1","MTT4B-Mini","",""
"24","U403","1","MT29F2G01ABAGDWB-IT-G_TR","",""
"25","Y401","1","ECS-2520SMV-080-FN-TR","lib:OSC_ECS-2520SMV-080-FN-TR",""
